plotid,chamber,treatment,origin,grazed_ungrazed,transect,transect_s_treatment,logger,link
12,107,w3,d,g,B1,B1_w3_d_g,nordsaltb1_3050,B1
13,109,w4,s,g,B1,B1_w4_s_g,nordsaltb1_3050,B1
14,109,w4,d,g,B1,B1_w4_d_g,nordsaltb1_3050,B1
15,109,w4,f,g,B1,B1_w4_f_g,nordsaltb1_3050,B1
16,104,w1,s,ug,B1,B1_w1_s_ug,nordsaltb1_3050,B1
17,104,w1,f,ug,B1,B1_w1_f_ug,nordsaltb1_3050,B1
18,104,w1,d,ug,B1,B1_w1_d_ug,nordsaltb1_3050,B1
19,106,w2,s,ug,B1,B1_w2_s_ug,nordsaltb1_3050,B1
20,106,w2,d,ug,B1,B1_w2_d_ug,nordsaltb1_3050,B1
21,106,w2,f,ug,B1,B1_w2_f_ug,nordsaltb1_3050,B1
22,102,w0,f,ug,B1,B1_w0_f_ug,nordsaltb1_3050,B1
23,102,w0,s,ug,B1,B1_w0_s_ug,nordsaltb1_3050,B1
24,102,w0,d,ug,B1,B1_w0_d_ug,nordsaltb1_3050,B1
25,108,w3,s,ug,B1,B1_w3_s_ug,nordsaltb1_3050,B1
26,108,w3,d,ug,B1,B1_w3_d_ug,nordsaltb1_3050,B1
27,108,w3,f,ug,B1,B1_w3_f_ug,nordsaltb1_3050,B1
28,110,w4,d,ug,B1,B1_w4_d_ug,nordsaltb1_3050,B1
29,110,w4,f,ug,B1,B1_w4_f_ug,nordsaltb1_3050,B1
30,110,w4,s,ug,B1,B1_w4_s_ug,nordsaltb1_3050,B1
101,101,w0,,g,B1,B1_w0_g,nordsaltb1_3050,B1
102,102,w0,,ug,B1,B1_w0_ug,nordsaltb1_3050,B1
103,103,w1,,g,B1,B1_w1_g,nordsaltb1_3050,B1
104,104,w1,,ug,B1,B1_w1_ug,nordsaltb1_3050,B1
105,105,w2,,g,B1,B1_w2_g,nordsaltb1_3050,B1
106,106,w2,,ug,B1,B1_w2_ug,nordsaltb1_3050,B1
107,107,w3,,g,B1,B1_w3_g,nordsaltb1_3050,B1
108,108,w3,,ug,B1,B1_w3_ug,nordsaltb1_3050,B1
109,109,w4,,g,B1,B1_w4_g,nordsaltb1_3050,B1
110,110,w4,,ug,B1,B1_w4_ug,nordsaltb1_3050,B1
1,103,w1,d,g,B1,B1_w1_d_g,nordsaltb1_3050,103
2,103,w1,f,g,B1,B1_w1_f_g,nordsaltb1_3050,103
3,103,w1,s,g,B1,B1_w1_s_g,nordsaltb1_3050,103
4,105,w2,d,g,B1,B1_w2_d_g,nordsaltb1_3050,105
5,105,w2,s,g,B1,B1_w2_s_g,nordsaltb1_3050,105
6,105,w2,f,g,B1,B1_w2_f_g,nordsaltb1_3050,105
7,101,w0,d,g,B1,B1_w0_d_g,nordsaltb1_3050,101
8,101,w0,f,g,B1,B1_w0_f_g,nordsaltb1_3050,101
9,101,w0,s,g,B1,B1_w0_s_g,nordsaltb1_3050,101
10,107,w3,f,g,B1,B1_w3_f_g,nordsaltb1_3050,107
11,107,w3,s,g,B1,B1_w3_s_g,nordsaltb1_3050,107
12,107,w3,d,g,B1,B1_w3_d_g,nordsaltb1_3050,107
13,109,w4,s,g,B1,B1_w4_s_g,nordsaltb1_3050,109
14,109,w4,d,g,B1,B1_w4_d_g,nordsaltb1_3050,109
15,109,w4,f,g,B1,B1_w4_f_g,nordsaltb1_3050,109
16,104,w1,s,ug,B1,B1_w1_s_ug,nordsaltb1_3050,104
17,104,w1,f,ug,B1,B1_w1_f_ug,nordsaltb1_3050,104
18,104,w1,d,ug,B1,B1_w1_d_ug,nordsaltb1_3050,104
19,106,w2,s,ug,B1,B1_w2_s_ug,nordsaltb1_3050,106
20,106,w2,d,ug,B1,B1_w2_d_ug,nordsaltb1_3050,106
21,106,w2,f,ug,B1,B1_w2_f_ug,nordsaltb1_3050,106
22,102,w0,f,ug,B1,B1_w0_f_ug,nordsaltb1_3050,102
23,102,w0,s,ug,B1,B1_w0_s_ug,nordsaltb1_3050,102
24,102,w0,d,ug,B1,B1_w0_d_ug,nordsaltb1_3050,102
25,108,w3,s,ug,B1,B1_w3_s_ug,nordsaltb1_3050,108
26,108,w3,d,ug,B1,B1_w3_d_ug,nordsaltb1_3050,108
27,108,w3,f,ug,B1,B1_w3_f_ug,nordsaltb1_3050,108
28,110,w4,d,ug,B1,B1_w4_d_ug,nordsaltb1_3050,110
29,110,w4,f,ug,B1,B1_w4_f_ug,nordsaltb1_3050,110
30,110,w4,s,ug,B1,B1_w4_s_ug,nordsaltb1_3050,110
31,209,w4,s,g,B2,B2_w4_s_g,nordsaltb2_3050,31
32,209,w4,d,g,B2,B2_w4_d_g,nordsaltb2_3050,32
33,209,w4,f,g,B2,B2_w4_f_g,nordsaltb2_3050,33
34,203,w1,d,g,B2,B2_w1_d_g,nordsaltb2_3050,34
35,203,w1,s,g,B2,B2_w1_s_g,nordsaltb2_3050,35
36,203,w1,f,g,B2,B2_w1_f_g,nordsaltb2_3050,36
37,205,w2,f,g,B2,B2_w2_f_g,nordsaltb2_3050,37
38,205,w2,s,g,B2,B2_w2_s_g,nordsaltb2_3050,38
39,205,w2,d,g,B2,B2_w2_d_g,nordsaltb2_3050,39
40,201,w0,d,g,B2,B2_w0_d_g,nordsaltb2_3050,40
41,201,w0,s,g,B2,B2_w0_s_g,nordsaltb2_3050,41
42,201,w0,f,g,B2,B2_w0_f_g,nordsaltb2_3050,42
43,207,w3,d,g,B2,B2_w3_d_g,nordsaltb2_3050,43
44,207,w3,f,g,B2,B2_w3_f_g,nordsaltb2_3050,44
45,207,w3,s,g,B2,B2_w3_s_g,nordsaltb2_3050,45
46,210,w4,d,ug,B2,B2_w4_d_ug,nordsaltb2_3050,46
47,210,w4,f,ug,B2,B2_w4_f_ug,nordsaltb2_3050,47
48,210,w4,s,ug,B2,B2_w4_s_ug,nordsaltb2_3050,48
49,204,w1,d,ug,B2,B2_w1_d_ug,nordsaltb2_3050,49
50,204,w1,f,ug,B2,B2_w1_f_ug,nordsaltb2_3050,50
51,204,w1,s,ug,B2,B2_w1_s_ug,nordsaltb2_3050,51
52,206,w2,d,ug,B2,B2_w2_d_ug,nordsaltb2_3050,52
53,206,w2,f,ug,B2,B2_w2_f_ug,nordsaltb2_3050,53
54,206,w2,s,ug,B2,B2_w2_s_ug,nordsaltb2_3050,54
55,202,w0,f,ug,B2,B2_w0_f_ug,nordsaltb2_3050,55
56,202,w0,d,ug,B2,B2_w0_d_ug,nordsaltb2_3050,56
57,202,w0,s,ug,B2,B2_w0_s_ug,nordsaltb2_3050,57
58,208,w3,d,ug,B2,B2_w3_d_ug,nordsaltb2_3050,58
59,208,w3,s,ug,B2,B2_w3_s_ug,nordsaltb2_3050,59
60,208,w3,f,ug,B2,B2_w3_f_ug,nordsaltb2_3050,60
201,201,w0,,g,B2,B2_w0_g,nordsaltb2_3050,201
202,202,w0,,ug,B2,B2_w0_ug,nordsaltb2_3050,202
203,203,w1,,g,B2,B2_w1_g,nordsaltb2_3050,203
204,204,w1,,ug,B2,B2_w1_ug,nordsaltb2_3050,204
205,205,w2,,g,B2,B2_w2_g,nordsaltb2_3050,205
206,206,w2,,ug,B2,B2_w2_ug,nordsaltb2_3050,206
207,207,w3,,g,B2,B2_w3_g,nordsaltb2_3050,207
208,208,w3,,ug,B2,B2_w3_ug,nordsaltb2_3050,208
209,209,w4,,g,B2,B2_w4_g,nordsaltb2_3050,209
210,210,w4,,ug,B2,B2_w4_ug,nordsaltb2_3050,210
31,209,w4,s,g,B2,B2_w4_s_g,nordsaltb2_3050,B2
32,209,w4,d,g,B2,B2_w4_d_g,nordsaltb2_3050,B2
33,209,w4,f,g,B2,B2_w4_f_g,nordsaltb2_3050,B2
34,203,w1,d,g,B2,B2_w1_d_g,nordsaltb2_3050,B2
35,203,w1,s,g,B2,B2_w1_s_g,nordsaltb2_3050,B2
36,203,w1,f,g,B2,B2_w1_f_g,nordsaltb2_3050,B2
37,205,w2,f,g,B2,B2_w2_f_g,nordsaltb2_3050,B2
38,205,w2,s,g,B2,B2_w2_s_g,nordsaltb2_3050,B2
39,205,w2,d,g,B2,B2_w2_d_g,nordsaltb2_3050,B2
40,201,w0,d,g,B2,B2_w0_d_g,nordsaltb2_3050,B2
41,201,w0,s,g,B2,B2_w0_s_g,nordsaltb2_3050,B2
42,201,w0,f,g,B2,B2_w0_f_g,nordsaltb2_3050,B2
43,207,w3,d,g,B2,B2_w3_d_g,nordsaltb2_3050,B2
44,207,w3,f,g,B2,B2_w3_f_g,nordsaltb2_3050,B2
45,207,w3,s,g,B2,B2_w3_s_g,nordsaltb2_3050,B2
46,210,w4,d,ug,B2,B2_w4_d_ug,nordsaltb2_3050,B2
47,210,w4,f,ug,B2,B2_w4_f_ug,nordsaltb2_3050,B2
48,210,w4,s,ug,B2,B2_w4_s_ug,nordsaltb2_3050,B2
49,204,w1,d,ug,B2,B2_w1_d_ug,nordsaltb2_3050,B2
50,204,w1,f,ug,B2,B2_w1_f_ug,nordsaltb2_3050,B2
51,204,w1,s,ug,B2,B2_w1_s_ug,nordsaltb2_3050,B2
52,206,w2,d,ug,B2,B2_w2_d_ug,nordsaltb2_3050,B2
53,206,w2,f,ug,B2,B2_w2_f_ug,nordsaltb2_3050,B2
54,206,w2,s,ug,B2,B2_w2_s_ug,nordsaltb2_3050,B2
